project,case_id,primitive,primitive_group,is_low_risk,n_fail,n_selfpure,n_upgrade_avoid,n_upgrade_neutralize,n_absent,n_excluded_missing_destination,n_total_instances,report_path
big_test2,3587cbb,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,3587cbb,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,CVW,CVW/AVW,1,0,0,0,0,1,23,0,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,AVW,CVW/AVW,1,1,0,0,0,0,5,1,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,CAW,CAW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,AAW,AAW,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test4,3694e28,IF,IF,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,36cf9e5,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/36cf9e5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,36cf9e5,AVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/36cf9e5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,36cf9e5,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/36cf9e5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,36cf9e5,OUW,OUW,0,2,0,0,0,0,0,2,/home/jpu007/ExpBridge/projects/big_test2/completed/36cf9e5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
